"","Week_start","Week_end","Week","Net_size","Density","Diameter","Avg_distance"
"1","2020-01-01","2020-01-08",1,4784,0.000415672666811248,18,5.22221166387631
"2","2020-01-08","2020-01-15",2,4457,0.000574841618687963,16,5.20225234828628
"3","2020-01-15","2020-01-22",3,5056,0.000593998500435748,16,5.11134379972858
"4","2020-01-22","2020-01-29",4,7429,0.000570844324013974,14,4.76320208680026
"5","2020-01-29","2020-02-05",5,9446,0.000481871018544535,16,4.89877860823958
"6","2020-02-05","2020-02-12",6,7316,0.000433629239650451,16,4.88009143605147
"7","2020-02-12","2020-02-19",7,10488,0.000571070446723233,14,4.70276869719238
"8","2020-02-19","2020-02-26",8,8444,0.000509877826171756,14,4.82233843117611
"9","2020-02-26","2020-03-04",9,12449,0.000246018517651181,16,5.30554668174673
"10","2020-03-04","2020-03-11",10,8586,0.000406030359494343,18,5.13026766526935
"11","2020-03-11","2020-03-18",11,11430,0.000273427379912632,22,5.39720398920631
"12","2020-03-18","2020-03-25",12,14173,0.00017515041581077,18,5.55000311828242
"13","2020-03-25","2020-04-01",13,14314,0.000160847867156607,18,5.58594338813017
"14","2020-04-01","2020-04-08",14,13793,0.000223859098444932,18,4.93568370936431
"15","2020-04-08","2020-04-15",15,12322,0.000209100320163441,16,5.13655229813479
"16","2020-04-15","2020-04-22",16,15624,0.000140574002954321,20,5.39915973992768
"17","2020-04-22","2020-04-29",17,9330,0.00023149381844513,20,5.87721903717525
