"","X","Week_start","Week_end","Week","Net_size","Density","Diameter","Avg_distance","Global_clustering","Average_clustering"
"1",1,"1/01/2020","8/01/2020",1,93740,0.028285846,9,2.662004042,0.729456161,0.898699034
"2",2,"8/01/2020","15/01/2020",2,61123,0.028296624,8,2.66176483,0.54740876,0.852841162
"3",3,"15/01/2020","22/01/2020",3,71599,0.030564817,8,2.590256033,0.491070947,0.8303714
"4",4,"22/01/2020","29/01/2020",4,142230,0.042356376,7,2.420563396,0.565469783,0.83468106
"5",5,"29/01/2020","5/02/2020",5,150669,0.031165406,8,2.493073973,0.46617662,0.818781211
"6",6,"5/02/2020","12/02/2020",6,275168,0.057994326,8,2.416339769,0.85384149,0.860818733
"7",7,"12/02/2020","19/02/2020",7,151970,0.0359541,7,2.411848423,0.398560386,0.801004948
"8",8,"19/02/2020","26/02/2020",8,153427,0.037137031,7,2.437059913,0.474664702,0.820838359
"9",9,"26/02/2020","4/03/2020",9,404090,0.025674676,8,2.671810118,0.725520582,0.872923784
"10",10,"4/03/2020","11/03/2020",10,164359,0.02952849,9,2.624645715,0.633194385,0.843122686
"11",11,"11/03/2020","18/03/2020",11,250733,0.021499935,11,2.763583505,0.55529664,0.856134666
"12",12,"18/03/2020","25/03/2020",12,258961,0.011556546,9,2.838565444,0.636350169,0.86510386
"13",13,"25/03/2020","1/04/2020",13,399768,0.015502713,9,2.860845827,0.749281475,0.884978334
"14",14,"1/04/2020","8/04/2020",14,638778,0.038486535,9,2.498003631,0.836136981,0.878312772
"15",15,"8/04/2020","15/04/2020",15,346882,0.020598319,8,2.611458461,0.589677481,0.883126921
"16",16,"15/04/2020","22/04/2020",16,1727368,0.048081913,10,2.719370315,0.966016738,0.909589833
"17",17,"22/04/2020","29/04/2020",17,165807,0.014188279,10,3.032753942,0.647748429,0.869918209
"18",18,"2020-01-01","2020-01-08",18,93740,0.0282858457615739,9,2.66200404168087,0.729456160771746,0.898699033618389
"19",19,"2020-01-08","2020-01-15",19,61123,0.0282966240617829,8,2.66176482956645,0.547408760434472,0.852841162283055
"20",20,"2020-01-15","2020-01-22",20,71599,0.030564816672572,8,2.59025603303826,0.491070947356456,0.830371399570075
"21",21,"2020-01-22","2020-01-29",21,142230,0.0423563760595795,7,2.42056339620698,0.56546978345478,0.834681059595429
"22",22,"2020-01-29","2020-02-05",22,150669,0.0311654061075666,8,2.49307397281387,0.466176619507965,0.81878121142733
"23",23,"2020-02-05","2020-02-12",23,275168,0.0579943263487567,8,2.41633976858795,0.853841489926642,0.860818733443935
"24",24,"2020-02-12","2020-02-19",24,151970,0.0359541002626587,7,2.41184842326429,0.398560386334127,0.801004947987271
"25",25,"2020-02-19","2020-02-26",25,153427,0.0371370306496021,7,2.43705991322709,0.474664701640251,0.820838358927131
"26",26,"2020-02-26","2020-03-04",26,404090,0.025674675826164,8,2.67181011815858,0.725520581698782,0.872923784055606
"27",27,"2020-03-04","2020-03-11",27,164359,0.029528489884149,9,2.62464571465092,0.633194385262222,0.843122686253968
"28",28,"2020-03-11","2020-03-18",28,250733,0.0214999354743833,11,2.76358350457553,0.555296640368663,0.856134665542038
"29",29,"2020-03-18","2020-03-25",29,258961,0.0115565464642018,9,2.83856544384611,0.636350169342902,0.865103860186141
"30",30,"2020-03-25","2020-04-01",30,399768,0.0155027125907886,9,2.86084582676992,0.749281475074059,0.884978334202109
"31",31,"2020-04-01","2020-04-08",31,638778,0.0384865353640962,9,2.49800363139502,0.836136980543523,0.878312772079857
"32",32,"2020-04-08","2020-04-15",32,346882,0.0205983192941981,8,2.61145846094551,0.589677480768243,0.88312692128879
"33",33,"2020-04-15","2020-04-22",33,1727368,0.0480819125654555,10,2.71937031476604,0.966016738425814,0.909589832727632
"34",34,"2020-04-22","2020-04-29",34,165807,0.0141882794185789,10,3.03275394151688,0.647748429201555,0.869918208516766
"35",35,"2020-04-29","2020-05-06",35,515639,0.0201529483710431,9,2.74200069570832,0.708371201150621,0.894043511127347
"36",36,"2020-05-06","2020-05-13",36,287555,0.0175315666357438,8,2.5948636920027,0.464302703449808,0.850724849653099
